point_id,latitude,longitude,orders_per_day,price_per_sqft,traffic_index,norm_demand,norm_price,norm_traffic,suitability_score
p001,12.838457,77.585393,144,8858,0.8994,0.0027,0.8484,0.0971,0.3176
p002,12.843866,77.574269,150,8914,0.6841,0.0040,0.8457,0.3565,0.3691
p003,12.843934,77.58242,168,8811,0.8776,0.0080,0.8506,0.1234,0.3260
p004,12.844312,77.525171,132,9206,0.1501,0.0000,0.8318,0.9999,0.4911
p005,12.844982,77.536947,132,9159,0.1517,0.0000,0.8340,0.9980,0.4915
p006,12.845021,77.589594,192,8769,0.8772,0.0133,0.8526,0.1239,0.3292
p007,12.846004,77.532007,132,9176,0.1504,0.0000,0.8332,0.9995,0.4915
p008,12.846049,77.56128,144,9040,0.3047,0.0027,0.8397,0.8136,0.4578
p009,12.847046,77.557977,150,9041,0.2465,0.0040,0.8397,0.8837,0.4724
p010,12.849729,77.537358,150,9104,0.1515,0.0040,0.8367,0.9982,0.4943
p011,12.850267,77.585038,222,8700,0.8918,0.0199,0.8559,0.1063,0.3298
p012,12.85098,77.555053,168,8980,0.2048,0.0080,0.8426,0.9340,0.4853
p013,12.851118,77.573334,204,8868,0.609,0.0159,0.8479,0.4470,0.3933
p014,12.851677,77.596333,270,8740,0.7632,0.0305,0.8540,0.2612,0.3649
p015,12.852429,77.580368,228,8720,0.8087,0.0212,0.8550,0.2064,0.3501
p016,12.852439,77.520834,162,9165,0.15,0.0066,0.8338,1.0000,0.4948
p017,12.854288,77.549111,180,8911,0.1668,0.0106,0.8459,0.9798,0.4968
p018,12.854392,77.533151,168,9089,0.1504,0.0080,0.8374,0.9995,0.4966
p019,12.85477,77.56456,216,8942,0.3376,0.0186,0.8444,0.7740,0.4587
p020,12.857865,77.54838,216,8804,0.1627,0.0186,0.8510,0.9847,0.5031
p021,12.85839,77.610632,432,9158,0.3731,0.0663,0.8341,0.7312,0.4680
p022,12.858692,77.601618,390,8853,0.6445,0.0570,0.8486,0.4042,0.4035
p023,12.858703,77.629219,546,9695,0.3315,0.0915,0.8085,0.7813,0.4804
p024,12.859406,77.654133,690,9760,0.9,0.1233,0.8054,0.0964,0.3567
p025,12.859544,77.659242,708,9676,0.8571,0.1273,0.8094,0.1481,0.3702
p026,12.859679,77.645785,654,9611,0.7943,0.1154,0.8125,0.2237,0.3810
p027,12.860541,77.589659,378,8653,0.8995,0.0544,0.8582,0.0970,0.3442
p028,12.860696,77.573115,318,8907,0.5418,0.0411,0.8461,0.5280,0.4202
p029,12.860908,77.553542,258,8644,0.1804,0.0279,0.8586,0.9634,0.5057
p030,12.861785,77.561826,294,8712,0.2606,0.0358,0.8554,0.8667,0.4888
p031,12.862248,77.621591,570,9839,0.2339,0.0968,0.8016,0.8989,0.5039
p032,12.862431,77.597935,444,8779,0.7767,0.0690,0.8522,0.2449,0.3783
p033,12.862805,77.580574,384,8741,0.7615,0.0557,0.8540,0.2633,0.3766
p034,12.863321,77.529636,234,9056,0.1514,0.0225,0.8390,0.9983,0.5034
p035,12.866496,77.53844,282,8799,0.1571,0.0332,0.8512,0.9914,0.5111
p036,12.866723,77.635544,726,9524,0.5891,0.1313,0.8166,0.4710,0.4391
p037,12.867414,77.564692,396,8568,0.2903,0.0584,0.8622,0.8310,0.4942
p038,12.867708,77.589976,540,8773,0.8991,0.0902,0.8524,0.0975,0.3584
p039,12.867802,77.594033,558,8779,0.8794,0.0942,0.8522,0.1212,0.3649
p040,12.868052,77.61046,648,9149,0.4365,0.1141,0.8345,0.6548,0.4744
p041,12.868797,77.65804,840,10676,0.8033,0.1565,0.7617,0.2129,0.3796
p042,12.869103,77.545312,336,8478,0.1686,0.0451,0.8665,0.9776,0.5191
p043,12.869146,77.570581,468,9002,0.417,0.0743,0.8415,0.6783,0.4636
p044,12.869454,77.641777,822,8993,0.7978,0.1525,0.8420,0.2195,0.4072
p045,12.869697,77.530117,306,9029,0.1557,0.0385,0.8402,0.9931,0.5100
p046,12.869927,77.628709,792,10194,0.4315,0.1459,0.7847,0.6608,0.4725
p047,12.870436,77.554156,396,8173,0.1792,0.0584,0.8810,0.9648,0.5276
p048,12.870735,77.651115,870,10619,0.8948,0.1631,0.7644,0.1027,0.3615
p049,12.8708,77.582409,582,9195,0.7638,0.0995,0.8323,0.2605,0.3882
p050,12.871141,77.606271,714,9081,0.5867,0.1286,0.8378,0.4739,0.4459
