point_id,latitude,longitude,orders_per_day
p001,12.838457,77.585393,144
p002,12.843866,77.574269,150
p003,12.843934,77.58242,168
p004,12.844312,77.525171,132
p005,12.844982,77.536947,132
p006,12.845021,77.589594,192
p007,12.846004,77.532007,132
p008,12.846049,77.56128,144
p009,12.847046,77.557977,150
p010,12.849729,77.537358,150
p011,12.850267,77.585038,222
p012,12.85098,77.555053,168
p013,12.851118,77.573334,204
p014,12.851677,77.596333,270
p015,12.852429,77.580368,228
p016,12.852439,77.520834,162
p017,12.854288,77.549111,180
p018,12.854392,77.533151,168
p019,12.85477,77.56456,216
p020,12.857865,77.54838,216
p021,12.85839,77.610632,432
p022,12.858692,77.601618,390
p023,12.858703,77.629219,546
p024,12.859406,77.654133,690
p025,12.859544,77.659242,708
p026,12.859679,77.645785,654
p027,12.860541,77.589659,378
p028,12.860696,77.573115,318
p029,12.860908,77.553542,258
p030,12.861785,77.561826,294
p031,12.862248,77.621591,570
p032,12.862431,77.597935,444
p033,12.862805,77.580574,384
p034,12.863321,77.529636,234
p035,12.866496,77.53844,282
p036,12.866723,77.635544,726
p037,12.867414,77.564692,396
p038,12.867708,77.589976,540
p039,12.867802,77.594033,558
p040,12.868052,77.61046,648
p041,12.868797,77.65804,840
p042,12.869103,77.545312,336
p043,12.869146,77.570581,468
p044,12.869454,77.641777,822
p045,12.869697,77.530117,306
p046,12.869927,77.628709,792
p047,12.870436,77.554156,396
p048,12.870735,77.651115,870
p049,12.8708,77.582409,582
p050,12.871141,77.606271,714
p051,12.871405,77.669618,876
p052,12.874125,77.573496,624
p053,12.874376,77.498666,342
p054,12.874392,77.605686,822
p055,12.874404,77.564864,558
p056,12.874856,77.536489,396
p057,12.874902,77.611437,870
p058,12.875316,77.513276,360
p059,12.875513,77.54891,474
p060,12.875638,77.556653,522
p061,12.876052,77.630188,942
p062,12.876497,77.528731,396
p063,12.877391,77.597946,906
p064,12.877626,77.577732,774
p065,12.877658,77.488511,354
p066,12.877812,77.649998,1056
p067,12.877968,77.504439,390
p068,12.878383,77.642206,1062
p069,12.8784,77.637144,1050
p070,12.879007,77.484301,360
p071,12.879321,77.618806,1050
p072,12.879471,77.521743,438
p073,12.88248,77.588291,1068
p074,12.882547,77.571003,882
p075,12.883228,77.523713,504
p076,12.884025,77.617573,1248
p077,12.884252,77.529497,528
p078,12.8845,77.553138,720
p079,12.884506,77.549222,678
p080,12.884568,77.540808,594
p081,12.884648,77.645291,1272
p082,12.884753,77.505231,468
p083,12.884785,77.56427,864
p084,12.885124,77.576766,1056
p085,12.885141,77.636979,1302
p086,12.885475,77.594692,1266
p087,12.885613,77.480455,402
p088,12.885772,77.614554,1326
p089,12.88627,77.659022,1212
p090,12.886778,77.492495,468
p091,12.886895,77.496189,480
p092,12.887466,77.51225,540
p093,12.890719,77.627362,1566
p094,12.890793,77.489862,504
