point_id,latitude,longitude
p001,12.838457,77.585393
p002,12.843866,77.574269
p003,12.843934,77.58242
p004,12.844312,77.525171
p005,12.844982,77.536947
p006,12.845021,77.589594
p007,12.846004,77.532007
p008,12.846049,77.56128
p009,12.847046,77.557977
p010,12.849729,77.537358
p011,12.850267,77.585038
p012,12.85098,77.555053
p013,12.851118,77.573334
p014,12.851677,77.596333
p015,12.852429,77.580368
p016,12.852439,77.520834
p017,12.854288,77.549111
p018,12.854392,77.533151
p019,12.85477,77.56456
p020,12.857865,77.54838
p021,12.85839,77.610632
p022,12.858692,77.601618
p023,12.858703,77.629219
p024,12.859406,77.654133
p025,12.859544,77.659242
p026,12.859679,77.645785
p027,12.860541,77.589659
p028,12.860696,77.573115
p029,12.860908,77.553542
p030,12.861785,77.561826
p031,12.862248,77.621591
p032,12.862431,77.597935
p033,12.862805,77.580574
p034,12.863321,77.529636
p035,12.866496,77.53844
p036,12.866723,77.635544
p037,12.867414,77.564692
p038,12.867708,77.589976
p039,12.867802,77.594033
p040,12.868052,77.61046
p041,12.868797,77.65804
p042,12.869103,77.545312
p043,12.869146,77.570581
p044,12.869454,77.641777
p045,12.869697,77.530117
p046,12.869927,77.628709
p047,12.870436,77.554156
p048,12.870735,77.651115
p049,12.8708,77.582409
p050,12.871141,77.606271
p051,12.871405,77.669618
p052,12.874125,77.573496
p053,12.874376,77.498666
p054,12.874392,77.605686
p055,12.874404,77.564864
p056,12.874856,77.536489
p057,12.874902,77.611437
p058,12.875316,77.513276
p059,12.875513,77.54891
p060,12.875638,77.556653
p061,12.876052,77.630188
p062,12.876497,77.528731
p063,12.877391,77.597946
p064,12.877626,77.577732
p065,12.877658,77.488511
p066,12.877812,77.649998
p067,12.877968,77.504439
p068,12.878383,77.642206
p069,12.8784,77.637144
p070,12.879007,77.484301
p071,12.879321,77.618806
p072,12.879471,77.521743
p073,12.88248,77.588291
p074,12.882547,77.571003
p075,12.883228,77.523713
p076,12.884025,77.617573
p077,12.884252,77.529497
p078,12.8845,77.553138
p079,12.884506,77.549222
p080,12.884568,77.540808
p081,12.884648,77.645291
p082,12.884753,77.505231
p083,12.884785,77.56427
p084,12.885124,77.576766
p085,12.885141,77.636979
p086,12.885475,77.594692
p087,12.885613,77.480455
p088,12.885772,77.614554
p089,12.88627,77.659022
p090,12.886778,77.492495
p091,12.886895,77.496189
p092,12.887466,77.51225
p093,12.890719,77.627362
p094,12.890793,77.489862
p095,12.891686,77.662569
p096,12.892023,77.596777
p097,12.892405,77.548334
p098,12.892633,77.537021
p099,12.892789,77.636701
p100,12.892803,77.466247
p101,12.892923,77.506046
p102,12.893345,77.483707
p103,12.89347,77.50077
p104,12.893604,77.586513
p105,12.893652,77.577904
p106,12.893848,77.643932
p107,12.894002,77.619093
p108,12.894042,77.565445
p109,12.894101,77.573969
p110,12.894305,77.654436
p111,12.894309,77.55416
p112,12.894388,77.521616
p113,12.894648,77.668829
p114,12.895499,77.612022
p115,12.895529,77.533668
p116,12.895619,77.517158
p117,12.895629,77.604751
p118,12.898453,77.590152
p119,12.898902,77.555776
p120,12.899036,77.578594
p121,12.899171,77.523936
p122,12.899208,77.625752
p123,12.899225,77.52915
p124,12.899404,77.670133
p125,12.899419,77.650875
p126,12.89959,77.466884
p127,12.899611,77.562439
p128,12.899967,77.618512
p129,12.900047,77.659811
p130,12.900195,77.61361
p131,12.900595,77.547521
p132,12.900946,77.604312
p133,12.901029,77.635823
p134,12.901079,77.538404
p135,12.901173,77.679616
p136,12.90121,77.642086
p137,12.901586,77.508266
p138,12.901656,77.596718
p139,12.90216,77.491337
p140,12.902189,77.569543
p141,12.902446,77.498864
p142,12.902593,77.476399
p143,12.902871,77.484733
p144,12.903633,77.513633
p145,12.906361,77.572483
p146,12.906636,77.467166
p147,12.906677,77.606327
p148,12.906761,77.528473
p149,12.906867,77.613627
p150,12.906964,77.706394
p151,12.907038,77.651882
p152,12.907732,77.554665
p153,12.907974,77.617755
p154,12.908381,77.695548
p155,12.908505,77.637211
p156,12.90867,77.480154
p157,12.908869,77.521946
p158,12.908953,77.64459
p159,12.909298,77.580402
p160,12.909314,77.49165
p161,12.909525,77.545656
p162,12.909585,77.596939
p163,12.909648,77.717511
p164,12.909838,77.56302
p165,12.909931,77.509193
p166,12.910105,77.679148
p167,12.9105,77.512837
p168,12.910604,77.627847
p169,12.910651,77.476369
p170,12.910768,77.539429
p171,12.910773,77.6862
p172,12.910787,77.660859
p173,12.911634,77.724293
p174,12.911709,77.666682
p175,12.9118,77.50016
p176,12.914392,77.545761
p177,12.914793,77.633571
p178,12.914922,77.475579
p179,12.915092,77.491382
p180,12.915127,77.572821
p181,12.915305,77.74168
p182,12.915621,77.55666
p183,12.915631,77.694543
p184,12.916098,77.523377
p185,12.916159,77.538694
p186,12.916399,77.586597
p187,12.916838,77.565328
p188,12.91692,77.51546
p189,12.917,77.709259
p190,12.917127,77.481441
p191,12.917241,77.641742
p192,12.917493,77.668946
p193,12.917493,77.593962
p194,12.917572,77.530232
p195,12.917711,77.662904
p196,12.918522,77.699915
p197,12.918938,77.734147
p198,12.919234,77.609959
p199,12.919343,77.579389
p200,12.919391,77.625799
p201,12.919469,77.505667
p202,12.920028,77.676642
p203,12.922571,77.702345
p204,12.922687,77.66911
p205,12.92271,77.652917
p206,12.922728,77.485125
p207,12.922782,77.675429
p208,12.922902,77.588514
p209,12.922951,77.717012
p210,12.923136,77.610471
p211,12.923253,77.577704
p212,12.923379,77.661334
p213,12.923432,77.735373
p214,12.923486,77.687498
p215,12.92366,77.634379
p216,12.923664,77.594025
p217,12.924302,77.491655
p218,12.924466,77.557385
p219,12.924519,77.605132
p220,12.925128,77.474043
p221,12.925195,77.62808
p222,12.925226,77.563299
p223,12.925394,77.538399
p224,12.925421,77.500469
p225,12.925551,77.512951
p226,12.925863,77.693361
p227,12.925872,77.74327
p228,12.925891,77.57151
p229,12.926169,77.532902
p230,12.926171,77.522136
p231,12.926217,77.707972
p232,12.927064,77.621349
p233,12.927117,77.747896
p234,12.92719,77.641692
p235,12.927199,77.505358
p236,12.928094,77.727483
p237,12.930811,77.539269
p238,12.931119,77.577524
p239,12.931231,77.498499
p240,12.931304,77.507287
p241,12.931443,77.653359
p242,12.931482,77.748081
p243,12.931637,77.613186
p244,12.931866,77.548914
p245,12.932003,77.662613
p246,12.932004,77.708104
p247,12.932127,77.677824
p248,12.932356,77.643619
p249,12.932518,77.718465
p250,12.932664,77.701411
p251,12.932836,77.756884
p252,12.933097,77.74273
p253,12.93327,77.586183
p254,12.933525,77.530265
