point_id,latitude,longitude,traffic_index
p001,12.838457,77.585393,0.8994
p002,12.843866,77.574269,0.6841
p003,12.843934,77.58242,0.8776
p004,12.844312,77.525171,0.1501
p005,12.844982,77.536947,0.1517
p006,12.845021,77.589594,0.8772
p007,12.846004,77.532007,0.1504
p008,12.846049,77.56128,0.3047
p009,12.847046,77.557977,0.2465
p010,12.849729,77.537358,0.1515
p011,12.850267,77.585038,0.8918
p012,12.85098,77.555053,0.2048
p013,12.851118,77.573334,0.609
p014,12.851677,77.596333,0.7632
p015,12.852429,77.580368,0.8087
p016,12.852439,77.520834,0.15
p017,12.854288,77.549111,0.1668
p018,12.854392,77.533151,0.1504
p019,12.85477,77.56456,0.3376
p020,12.857865,77.54838,0.1627
p021,12.85839,77.610632,0.3731
p022,12.858692,77.601618,0.6445
p023,12.858703,77.629219,0.3315
p024,12.859406,77.654133,0.9
p025,12.859544,77.659242,0.8571
p026,12.859679,77.645785,0.7943
p027,12.860541,77.589659,0.8995
p028,12.860696,77.573115,0.5418
p029,12.860908,77.553542,0.1804
p030,12.861785,77.561826,0.2606
p031,12.862248,77.621591,0.2339
p032,12.862431,77.597935,0.7767
p033,12.862805,77.580574,0.7615
p034,12.863321,77.529636,0.1514
p035,12.866496,77.53844,0.1571
p036,12.866723,77.635544,0.5891
p037,12.867414,77.564692,0.2903
p038,12.867708,77.589976,0.8991
p039,12.867802,77.594033,0.8794
p040,12.868052,77.61046,0.4365
p041,12.868797,77.65804,0.8033
p042,12.869103,77.545312,0.1686
p043,12.869146,77.570581,0.417
p044,12.869454,77.641777,0.7978
p045,12.869697,77.530117,0.1557
p046,12.869927,77.628709,0.4315
p047,12.870436,77.554156,0.1792
p048,12.870735,77.651115,0.8948
p049,12.8708,77.582409,0.7638
p050,12.871141,77.606271,0.5867
p051,12.871405,77.669618,0.4425
p052,12.874125,77.573496,0.4652
p053,12.874376,77.498666,0.15
p054,12.874392,77.605686,0.6306
p055,12.874404,77.564864,0.2667
p056,12.874856,77.536489,0.1785
p057,12.874902,77.611437,0.4559
p058,12.875316,77.513276,0.151
p059,12.875513,77.54891,0.216
p060,12.875638,77.556653,0.2213
p061,12.876052,77.630188,0.5472
p062,12.876497,77.528731,0.1655
p063,12.877391,77.597946,0.856
p064,12.877626,77.577732,0.5693
p065,12.877658,77.488511,0.15
p066,12.877812,77.649998,0.8779
p067,12.877968,77.504439,0.1503
p068,12.878383,77.642206,0.8752
p069,12.8784,77.637144,0.7777
p070,12.879007,77.484301,0.15
p071,12.879321,77.618806,0.3105
p072,12.879471,77.521743,0.1586
p073,12.88248,77.588291,0.8372
p074,12.882547,77.571003,0.3468
p075,12.883228,77.523713,0.1697
p076,12.884025,77.617573,0.3538
p077,12.884252,77.529497,0.1986
p078,12.8845,77.553138,0.389
p079,12.884506,77.549222,0.3757
p080,12.884568,77.540808,0.303
p081,12.884648,77.645291,0.8942
p082,12.884753,77.505231,0.1511
p083,12.884785,77.56427,0.3887
p084,12.885124,77.576766,0.483
p085,12.885141,77.636979,0.838
p086,12.885475,77.594692,0.8999
p087,12.885613,77.480455,0.15
p088,12.885772,77.614554,0.4427
p089,12.88627,77.659022,0.5654
p090,12.886778,77.492495,0.1501
p091,12.886895,77.496189,0.1503
p092,12.887466,77.51225,0.1563
p093,12.890719,77.627362,0.7071
p094,12.890793,77.489862,0.1502
p095,12.891686,77.662569,0.4019
p096,12.892023,77.596777,0.9
p097,12.892405,77.548334,0.5981
p098,12.892633,77.537021,0.3862
p099,12.892789,77.636701,0.8966
p100,12.892803,77.466247,0.15
p101,12.892923,77.506046,0.1553
p102,12.893345,77.483707,0.1501
p103,12.89347,77.50077,0.1523
p104,12.893604,77.586513,0.7232
p105,12.893652,77.577904,0.6542
p106,12.893848,77.643932,0.8561
p107,12.894002,77.619093,0.5482
p108,12.894042,77.565445,0.6798
p109,12.894101,77.573969,0.673
p110,12.894305,77.654436,0.5995
p111,12.894309,77.55416,0.6997
p112,12.894388,77.521616,0.2098
p113,12.894648,77.668829,0.2723
p114,12.895499,77.612022,0.6009
p115,12.895529,77.533668,0.3747
p116,12.895619,77.517158,0.1898
p117,12.895629,77.604751,0.8097
p118,12.898453,77.590152,0.7927
p119,12.898902,77.555776,0.8267
p120,12.899036,77.578594,0.8132
p121,12.899171,77.523936,0.2767
p122,12.899208,77.625752,0.8444
p123,12.899225,77.52915,0.3562
p124,12.899404,77.670133,0.3771
p125,12.899419,77.650875,0.6081
p126,12.89959,77.466884,0.15
p127,12.899611,77.562439,0.8377
p128,12.899967,77.618512,0.6791
p129,12.900047,77.659811,0.3731
p130,12.900195,77.61361,0.6411
p131,12.900595,77.547521,0.7896
p132,12.900946,77.604312,0.8264
p133,12.901029,77.635823,0.9182
p134,12.901079,77.538404,0.5943
p135,12.901173,77.679616,0.5509
p136,12.90121,77.642086,0.8091
p137,12.901586,77.508266,0.1758
p138,12.901656,77.596718,0.9005
p139,12.90216,77.491337,0.1519
