point_id,latitude,longitude,traffic_index,corridor_field,hotspot_bonus,nearest_hotspot,nearest_hotspot_km
p001,12.838457,77.585393,0.8994,0.9992,0.0,Silk Board Junction,9.606
p002,12.843866,77.574269,0.6841,0.7121,0.0,Silk Board Junction,9.668
p003,12.843934,77.58242,0.8776,0.9702,0.0,Silk Board Junction,9.21
p004,12.844312,77.525171,0.1501,0.0001,0.0,Silk Board Junction,13.309
p005,12.844982,77.536947,0.1517,0.0023,0.0,Silk Board Junction,12.268
p006,12.845021,77.589594,0.8772,0.9696,0.0,Silk Board Junction,8.756
p007,12.846004,77.532007,0.1504,0.0006,0.0,Silk Board Junction,12.609
p008,12.846049,77.56128,0.3047,0.2063,0.0,Silk Board Junction,10.317
p009,12.847046,77.557977,0.2465,0.1286,0.0,Silk Board Junction,10.47
p010,12.849729,77.537358,0.1515,0.002,0.0,Silk Board Junction,11.898
p011,12.850267,77.585038,0.8918,0.9891,0.0,Silk Board Junction,8.459
p012,12.85098,77.555053,0.2048,0.0731,0.0,Silk Board Junction,10.374
p013,12.851118,77.573334,0.609,0.6119,0.0,Silk Board Junction,9.066
p014,12.851677,77.596333,0.7632,0.8176,0.0,Silk Board Junction,7.793
p015,12.852429,77.580368,0.8087,0.8782,0.0,Silk Board Junction,8.514
p016,12.852439,77.520834,0.15,0.0,0.0,Silk Board Junction,13.177
p017,12.854288,77.549111,0.1668,0.0225,0.0,Silk Board Junction,10.597
p018,12.854392,77.533151,0.1504,0.0005,0.0,Silk Board Junction,11.95
p019,12.85477,77.56456,0.3376,0.2501,0.0,Silk Board Junction,9.358
p020,12.857865,77.54838,0.1627,0.0169,0.0,Silk Board Junction,10.403
p021,12.85839,77.610632,0.3731,0.2975,0.0,Silk Board Junction,6.635
p022,12.858692,77.601618,0.6445,0.6593,0.0,Silk Board Junction,6.865
p023,12.858703,77.629219,0.3315,0.242,0.0,Silk Board Junction,6.506
p024,12.859406,77.654133,0.9,1.0,0.0,Silk Board Junction,7.238
p025,12.859544,77.659242,0.8571,0.9428,0.0,Sarjapur / Iblur Signal,7.341
p026,12.859679,77.645785,0.7943,0.8591,0.0,Silk Board Junction,6.832
p027,12.860541,77.589659,0.8995,0.9993,0.0,Silk Board Junction,7.223
p028,12.860696,77.573115,0.5418,0.5224,0.0,Silk Board Junction,8.251
p029,12.860908,77.553542,0.1804,0.0405,0.0,Silk Board Junction,9.756
p030,12.861785,77.561826,0.2606,0.1475,0.0,Silk Board Junction,9.016
p031,12.862248,77.621591,0.2339,0.1119,0.0,Silk Board Junction,6.078
p032,12.862431,77.597935,0.7767,0.8357,0.0,Silk Board Junction,6.63
p033,12.862805,77.580574,0.7615,0.8153,0.0,Silk Board Junction,7.56
p034,12.863321,77.529636,0.1514,0.0019,0.0,Dairy Circle,11.718
p035,12.866496,77.53844,0.1571,0.0095,0.0,Silk Board Junction,10.732
p036,12.866723,77.635544,0.5891,0.5854,0.0,Silk Board Junction,5.75
p037,12.867414,77.564692,0.2903,0.1871,0.0,Silk Board Junction,8.369
p038,12.867708,77.589976,0.8991,0.9989,0.0,Silk Board Junction,6.529
p039,12.867802,77.594033,0.8794,0.9725,0.0,Silk Board Junction,6.291
p040,12.868052,77.61046,0.4365,0.3819,0.0,Silk Board Junction,5.597
p041,12.868797,77.65804,0.8033,0.871,0.0,Sarjapur / Iblur Signal,6.336
p042,12.869103,77.545312,0.1686,0.0248,0.0,Silk Board Junction,9.947
p043,12.869146,77.570581,0.417,0.356,0.0,Silk Board Junction,7.767
p044,12.869454,77.641777,0.7978,0.8637,0.0,Silk Board Junction,5.667
p045,12.869697,77.530117,0.1557,0.0076,0.0,Dairy Circle,11.168
p046,12.869927,77.628709,0.4315,0.3753,0.0,Silk Board Junction,5.266
p047,12.870436,77.554156,0.1792,0.0389,0.0,Silk Board Junction,9.066
p048,12.870735,77.651115,0.8948,0.993,0.0,Silk Board Junction,5.986
p049,12.8708,77.582409,0.7638,0.8184,0.0,Silk Board Junction,6.747
p050,12.871141,77.606271,0.5867,0.5823,0.0,Silk Board Junction,5.399
p051,12.871405,77.669618,0.4425,0.39,0.0,Sarjapur / Iblur Signal,6.025
p052,12.874125,77.573496,0.4652,0.4202,0.0,Silk Board Junction,7.162
p053,12.874376,77.498666,0.15,0.0,0.0,Dairy Circle,13.475
p054,12.874392,77.605686,0.6306,0.6408,0.0,Silk Board Junction,5.084
p055,12.874404,77.564864,0.2667,0.1556,0.0,Silk Board Junction,7.867
p056,12.874856,77.536489,0.1785,0.038,0.0,Dairy Circle,10.277
p057,12.874902,77.611437,0.4559,0.4078,0.0,Silk Board Junction,4.837
p058,12.875316,77.513276,0.151,0.0013,0.0,Dairy Circle,12.124
p059,12.875513,77.54891,0.216,0.088,0.0,Silk Board Junction,9.246
p060,12.875638,77.556653,0.2213,0.0951,0.0,Silk Board Junction,8.521
p061,12.876052,77.630188,0.5472,0.5296,0.0,Silk Board Junction,4.62
p062,12.876497,77.528731,0.1655,0.0207,0.0,Dairy Circle,10.753
p063,12.877391,77.597946,0.856,0.9413,0.0,Silk Board Junction,5.162
p064,12.877626,77.577732,0.5693,0.559,0.0,Silk Board Junction,6.561
p065,12.877658,77.488511,0.15,0.0,0.0,Dairy Circle,14.219
p066,12.877812,77.649998,0.8779,0.9705,0.0,Silk Board Junction,5.261
p067,12.877968,77.504439,0.1503,0.0004,0.0,Dairy Circle,12.733
p068,12.878383,77.642206,0.8752,0.967,0.0,Silk Board Junction,4.781
p069,12.8784,77.637144,0.7777,0.837,0.0,Silk Board Junction,4.564
p070,12.879007,77.484301,0.15,0.0,0.0,Dairy Circle,14.544
p071,12.879321,77.618806,0.3105,0.2139,0.0,Silk Board Junction,4.211
p072,12.879471,77.521743,0.1586,0.0114,0.0,Dairy Circle,11.118
p073,12.88248,77.588291,0.8372,0.9162,0.0,Silk Board Junction,5.362
p074,12.882547,77.571003,0.3468,0.2624,0.0,Silk Board Junction,6.801
p075,12.883228,77.523713,0.1697,0.0263,0.0,Dairy Circle,10.694
p076,12.884025,77.617573,0.3538,0.2712,0.0004,Silk Board Junction,3.712
p077,12.884252,77.529497,0.1986,0.0648,0.0,Dairy Circle,10.131
p078,12.8845,77.553138,0.389,0.3186,0.0,Dairy Circle,8.278
p079,12.884506,77.549222,0.3757,0.3009,0.0,Dairy Circle,8.555
p080,12.884568,77.540808,0.303,0.2041,0.0,Dairy Circle,9.186
p081,12.884648,77.645291,0.8942,0.9923,0.0,Silk Board Junction,4.348
p082,12.884753,77.505231,0.1511,0.0015,0.0,Dairy Circle,12.258
p083,12.884785,77.56427,0.3887,0.3183,0.0,Silk Board Junction,7.291
p084,12.885124,77.576766,0.483,0.444,0.0,Silk Board Junction,6.125
p085,12.885141,77.636979,0.838,0.917,0.0002,Silk Board Junction,3.864
p086,12.885475,77.594692,0.8999,0.9998,0.0,Silk Board Junction,4.648
p087,12.885613,77.480455,0.15,0.0,0.0,Hudson Circle,14.436
p088,12.885772,77.614554,0.4427,0.3895,0.0006,Silk Board Junction,3.588
p089,12.88627,77.659022,0.5654,0.5539,0.0,Sarjapur / Iblur Signal,4.406
p090,12.886778,77.492495,0.1501,0.0002,0.0,Dairy Circle,13.356
p091,12.886895,77.496189,0.1503,0.0004,0.0,Dairy Circle,12.995
p092,12.887466,77.51225,0.1563,0.0084,0.0,Dairy Circle,11.452
p093,12.890719,77.627362,0.7071,0.7372,0.0043,Silk Board Junction,2.97
p094,12.890793,77.489862,0.1502,0.0002,0.0,Hudson Circle,13.289
p095,12.891686,77.662569,0.4019,0.3357,0.0001,Sarjapur / Iblur Signal,3.77
p096,12.892023,77.596777,0.9,0.9999,0.0001,Silk Board Junction,3.965
p097,12.892405,77.548334,0.5981,0.5975,0.0,Dairy Circle,7.998
p098,12.892633,77.537021,0.3862,0.3149,0.0,Dairy Circle,8.915
p099,12.892789,77.636701,0.8966,0.9915,0.0029,Silk Board Junction,3.092
p100,12.892803,77.466247,0.15,0.0,0.0,Hudson Circle,15.183
p101,12.892923,77.506046,0.1553,0.0071,0.0,Dairy Circle,11.739
p102,12.893345,77.483707,0.1501,0.0001,0.0,Hudson Circle,13.621
p103,12.89347,77.50077,0.1523,0.0031,0.0,Hudson Circle,12.217
p104,12.893604,77.586513,0.7232,0.7643,0.0,Silk Board Junction,4.723
p105,12.893652,77.577904,0.6542,0.6723,0.0,Silk Board Junction,5.523
p106,12.893848,77.643932,0.8561,0.9402,0.0009,Silk Board Junction,3.453
p107,12.894002,77.619093,0.5482,0.5149,0.012,Silk Board Junction,2.596
p108,12.894042,77.565445,0.6798,0.7064,0.0,Dairy Circle,6.622
p109,12.894101,77.573969,0.673,0.6974,0.0,Silk Board Junction,5.881
p110,12.894305,77.654436,0.5995,0.599,0.0002,Sarjapur / Iblur Signal,3.652
p111,12.894309,77.55416,0.6997,0.733,0.0,Dairy Circle,7.399
p112,12.894388,77.521616,0.2098,0.0798,0.0,Dairy Circle,10.186
p113,12.894648,77.668829,0.2723,0.1626,0.0004,Sarjapur / Iblur Signal,3.46
p114,12.895499,77.612022,0.6009,0.5879,0.0099,Silk Board Junction,2.669
p115,12.895529,77.533668,0.3747,0.2996,0.0,Dairy Circle,9.019
p116,12.895619,77.517158,0.1898,0.0531,0.0,Dairy Circle,10.536
p117,12.895629,77.604751,0.8097,0.8756,0.003,Silk Board Junction,3.086
p118,12.898453,77.590152,0.7927,0.8568,0.0001,Silk Board Junction,4.104
p119,12.898902,77.555776,0.8267,0.9023,0.0,Dairy Circle,6.918
p120,12.899036,77.578594,0.8132,0.8842,0.0,Silk Board Junction,5.199
p121,12.899171,77.523936,0.2767,0.1689,0.0,Dairy Circle,9.702
p122,12.899208,77.625752,0.8444,0.8645,0.046,Silk Board Junction,2.015
p123,12.899225,77.52915,0.3562,0.275,0.0,Dairy Circle,9.21
p124,12.899404,77.670133,0.3771,0.3003,0.0019,Sarjapur / Iblur Signal,2.963
p125,12.899419,77.650875,0.6081,0.6092,0.0012,Sarjapur / Iblur Signal,3.28
p126,12.89959,77.466884,0.15,0.0,0.0,Hudson Circle,14.716
p127,12.899611,77.562439,0.8377,0.9169,0.0,Dairy Circle,6.355
p128,12.899967,77.618512,0.6791,0.6373,0.0511,Silk Board Junction,1.961
p129,12.900047,77.659811,0.3731,0.2944,0.0023,Sarjapur / Iblur Signal,2.89
p130,12.900195,77.61361,0.6411,0.6063,0.0364,Silk Board Junction,2.128
p131,12.900595,77.547521,0.7896,0.8528,0.0,Dairy Circle,7.476
p132,12.900946,77.604312,0.8264,0.8895,0.0093,Silk Board Junction,2.693
p133,12.901029,77.635823,0.9182,0.9895,0.0261,Silk Board Junction,2.279
p134,12.901079,77.538404,0.5943,0.5924,0.0,Dairy Circle,8.25
p135,12.901173,77.679616,0.5509,0.5332,0.0011,Sarjapur / Iblur Signal,3.147
p136,12.90121,77.642086,0.8091,0.8675,0.0084,Silk Board Junction,2.739
p137,12.901586,77.508266,0.1758,0.0344,0.0,Hudson Circle,11.009
p138,12.901656,77.596718,0.9005,0.9987,0.0015,Silk Board Junction,3.31
p139,12.90216,77.491337,0.1519,0.0025,0.0,Hudson Circle,12.369
p140,12.902189,77.569543,0.8782,0.9709,0.0,Dairy Circle,5.637
p141,12.902446,77.498864,0.1571,0.0095,0.0,Hudson Circle,11.71
p142,12.902593,77.476399,0.1501,0.0001,0.0,Hudson Circle,13.667
p143,12.902871,77.484733,0.1506,0.0008,0.0,Hudson Circle,12.901
p144,12.903633,77.513633,0.2155,0.0873,0.0,Hudson Circle,10.433
p145,12.906361,77.572483,0.8988,0.9983,0.0,Dairy Circle,5.078
p146,12.906636,77.467166,0.15,0.0,0.0,Gokaldas Images Junction,14.268
p147,12.906677,77.606327,0.8817,0.9275,0.0361,Silk Board Junction,2.132
p148,12.906761,77.528473,0.487,0.4494,0.0,Dairy Circle,8.877
p149,12.906867,77.613627,0.9125,0.8685,0.1111,Silk Board Junction,1.515
p150,12.906964,77.706394,0.8846,0.9795,0.0,Sarjapur / Iblur Signal,4.955
p151,12.907038,77.651882,0.5597,0.5358,0.0079,Sarjapur / Iblur Signal,2.5
p152,12.907732,77.554665,0.889,0.9853,0.0,Dairy Circle,6.382
p153,12.907974,77.617755,0.9768,0.8636,0.1791,Silk Board Junction,1.158
p154,12.908381,77.695548,0.8945,0.9926,0.0001,Sarjapur / Iblur Signal,3.837
p155,12.908505,77.637211,0.8675,0.8697,0.0652,Silk Board Junction,1.835
p156,12.90867,77.480154,0.1507,0.0009,0.0,Hudson Circle,12.963
p157,12.908869,77.521946,0.3916,0.3221,0.0,Hudson Circle,9.388
p158,12.908953,77.64459,0.6803,0.6851,0.0165,Silk Board Junction,2.534
p159,12.909298,77.580402,0.8759,0.9678,0.0,Dairy Circle,4.309
p160,12.909314,77.49165,0.1564,0.0085,0.0,Hudson Circle,11.878
p161,12.909525,77.545656,0.8828,0.9771,0.0,Dairy Circle,7.089
p162,12.909585,77.596939,0.9049,0.9998,0.005,Silk Board Junction,2.929
p163,12.909648,77.717511,0.6822,0.7097,0.0,Marathahalli Junction,5.887
p164,12.909838,77.56302,0.8589,0.9452,0.0,Dairy Circle,5.525
p165,12.909931,77.509193,0.2279,0.1039,0.0,Hudson Circle,10.32
p166,12.910105,77.679148,0.8045,0.859,0.0103,Sarjapur / Iblur Signal,2.316
p167,12.9105,77.512837,0.2719,0.1625,0.0,Hudson Circle,9.979
p168,12.910604,77.627847,0.98,0.9991,0.2309,Silk Board Junction,0.912
p169,12.910651,77.476369,0.1504,0.0006,0.0,Hudson Circle,13.205
p170,12.910768,77.539429,0.8174,0.8898,0.0,Dairy Circle,7.616
p171,12.910773,77.6862,0.8749,0.963,0.0027,Sarjapur / Iblur Signal,2.84
p172,12.910787,77.660859,0.6398,0.6063,0.035,Sarjapur / Iblur Signal,1.706
p173,12.911634,77.724293,0.5019,0.4692,0.0,Marathahalli Junction,6.005
p174,12.911709,77.666682,0.7134,0.6918,0.0445,Sarjapur / Iblur Signal,1.559
p175,12.9118,77.50016,0.1819,0.0425,0.0,Hudson Circle,10.965
p176,12.914392,77.545761,0.8996,0.9994,0.0,Dairy Circle,6.822
p177,12.914793,77.633571,0.98,0.9535,0.1709,Silk Board Junction,1.198
p178,12.914922,77.475579,0.1507,0.001,0.0,Gokaldas Images Junction,13.033
p179,12.915092,77.491382,0.1643,0.0191,0.0,Hudson Circle,11.554
p180,12.915127,77.572821,0.7359,0.7812,0.0,Dairy Circle,4.341
p181,12.915305,77.74168,0.2204,0.0939,0.0,Whitefield / Big Bazaar,6.093
p182,12.915621,77.55666,0.7478,0.797,0.0,Dairy Circle,5.718
p183,12.915631,77.694543,0.8631,0.9501,0.0005,Sarjapur / Iblur Signal,3.403
p184,12.916098,77.523377,0.5746,0.5661,0.0,Hudson Circle,8.716
p185,12.916159,77.538694,0.8766,0.9688,0.0,Dairy Circle,7.438
p186,12.916399,77.586597,0.7733,0.8299,0.0008,Dairy Circle,3.287
p187,12.916838,77.565328,0.6743,0.6991,0.0,Dairy Circle,4.855
p188,12.91692,77.51546,0.4139,0.3519,0.0,Hudson Circle,9.303
p189,12.917,77.709259,0.6376,0.6502,0.0,Marathahalli Junction,4.83
p190,12.917127,77.481441,0.1535,0.0047,0.0,Hudson Circle,12.376
p191,12.917241,77.641742,0.9265,0.9733,0.0465,Silk Board Junction,2.055
p192,12.917493,77.668946,0.9314,0.9215,0.0902,Sarjapur / Iblur Signal,1.008
p193,12.917493,77.593962,0.9033,0.9974,0.0052,Dairy Circle,2.847
p194,12.917572,77.530232,0.7652,0.8203,0.0,Hudson Circle,8.071
p195,12.917711,77.662904,0.8979,0.8649,0.0992,Sarjapur / Iblur Signal,0.91
p196,12.918522,77.699915,0.7424,0.7898,0.0001,Sarjapur / Iblur Signal,3.88
p197,12.918938,77.734147,0.2361,0.1148,0.0,Whitefield / Big Bazaar,5.881
p198,12.919234,77.609959,0.9708,0.9162,0.1337,Silk Board Junction,1.411
p199,12.919343,77.579389,0.606,0.6076,0.0003,Dairy Circle,3.506
p200,12.919391,77.625799,0.98,0.9926,0.3226,Silk Board Junction,0.406
p201,12.919469,77.505667,0.2889,0.1852,0.0,Hudson Circle,9.989
p202,12.920028,77.676642,0.9546,0.9999,0.0547,Sarjapur / Iblur Signal,1.42
p203,12.922571,77.702345,0.5901,0.5866,0.0001,Marathahalli Junction,4.075
p204,12.922687,77.66911,0.98,0.9983,0.1279,Sarjapur / Iblur Signal,0.565
p205,12.92271,77.652917,0.9624,0.9999,0.0624,Sarjapur / Iblur Signal,1.341
p206,12.922728,77.485125,0.1636,0.0181,0.0,Hudson Circle,11.737
p207,12.922782,77.675429,0.965,0.9878,0.0742,Sarjapur / Iblur Signal,1.187
p208,12.922902,77.588514,0.8478,0.9227,0.0058,Dairy Circle,2.569
p209,12.922951,77.717012,0.3554,0.2739,0.0,Marathahalli Junction,4.528
p210,12.923136,77.610471,0.8709,0.7924,0.1265,Silk Board Junction,1.49
p211,12.923253,77.577704,0.5283,0.5037,0.0005,Dairy Circle,3.353
p212,12.923379,77.661334,0.98,0.9944,0.1347,Sarjapur / Iblur Signal,0.464
p213,12.923432,77.735373,0.1918,0.0558,0.0,Whitefield / Big Bazaar,5.367
p214,12.923486,77.687498,0.783,0.8343,0.0073,Sarjapur / Iblur Signal,2.464
p215,12.92366,77.634379,0.98,0.9485,0.1239,Silk Board Junction,1.445
p216,12.923664,77.594025,0.9153,1.0,0.0153,Dairy Circle,2.204
p217,12.924302,77.491655,0.1953,0.0604,0.0,Hudson Circle,11.026
p218,12.924466,77.557385,0.5347,0.5129,0.0,Dairy Circle,5.214
p219,12.924519,77.605132,0.7546,0.7234,0.0621,Dairy Circle,1.963
p220,12.925128,77.474043,0.1519,0.0026,0.0,Gokaldas Images Junction,12.12
p221,12.925195,77.62808,0.98,0.8758,0.2015,Silk Board Junction,1.053
p222,12.925226,77.563299,0.405,0.34,0.0,Dairy Circle,4.59
p223,12.925394,77.538399,0.8858,0.981,0.0,Hudson Circle,6.834
p224,12.925421,77.500469,0.2948,0.1931,0.0,Hudson Circle,10.125
p225,12.925551,77.512951,0.5392,0.5189,0.0,Hudson Circle,8.959
p226,12.925863,77.693361,0.6284,0.6358,0.0015,Sarjapur / Iblur Signal,3.087
p227,12.925872,77.74327,0.1619,0.0159,0.0,Whitefield / Big Bazaar,4.912
p228,12.925891,77.57151,0.394,0.3252,0.0001,Dairy Circle,3.757
p229,12.926169,77.532902,0.8988,0.9984,0.0,Hudson Circle,7.201
p230,12.926171,77.522136,0.766,0.8213,0.0,Hudson Circle,8.103
p231,12.926217,77.707972,0.4093,0.3455,0.0002,Marathahalli Junction,3.813
p232,12.927064,77.621349,0.9177,0.7637,0.1949,Silk Board Junction,1.102
p233,12.927117,77.747896,0.1554,0.0072,0.0,Whitefield / Big Bazaar,4.725
p234,12.92719,77.641692,0.8445,0.8866,0.0295,Silk Board Junction,2.328
p235,12.927199,77.505358,0.4063,0.3418,0.0,Hudson Circle,9.567
p236,12.928094,77.727483,0.1968,0.0624,0.0,Marathahalli Junction,4.733
p237,12.930811,77.539269,0.8074,0.8765,0.0,Hudson Circle,6.345
p238,12.931119,77.577524,0.491,0.4518,0.0022,Dairy Circle,2.915
p239,12.931231,77.498499,0.3324,0.2431,0.0,Hudson Circle,10.021
p240,12.931304,77.507287,0.5339,0.5119,0.0,Hudson Circle,9.165
p241,12.931443,77.653359,0.8302,0.8318,0.0564,Sarjapur / Iblur Signal,1.404
p242,12.931482,77.748081,0.1641,0.0187,0.0,Whitefield / Big Bazaar,4.242
p243,12.931637,77.613186,0.5993,0.4737,0.0941,Dairy Circle,1.669
p244,12.931866,77.548914,0.5697,0.5596,0.0,Hudson Circle,5.537
p245,12.932003,77.662613,0.9448,0.9076,0.1141,Sarjapur / Iblur Signal,0.74
p246,12.932004,77.708104,0.2888,0.1834,0.0013,Marathahalli Junction,3.213
p247,12.932127,77.677824,0.8996,0.9409,0.0439,Sarjapur / Iblur Signal,1.572
p248,12.932356,77.643619,0.6929,0.7043,0.0147,Sarjapur / Iblur Signal,2.423
p249,12.932518,77.718465,0.2103,0.0802,0.0002,Marathahalli Junction,3.723
p250,12.932664,77.701411,0.3766,0.2983,0.0028,Marathahalli Junction,2.955
p251,12.932836,77.756884,0.1662,0.0216,0.0,Whitefield / Big Bazaar,4.155
p252,12.933097,77.74273,0.1701,0.0267,0.0,Whitefield / Big Bazaar,4.134
p253,12.93327,77.586183,0.7068,0.7135,0.0217,Dairy Circle,1.969
p254,12.933525,77.530265,0.889,0.9853,0.0,Hudson Circle,6.911
p255,12.933905,77.564769,0.2475,0.1299,0.0,Dairy Circle,4.137
p256,12.934276,77.637365,0.5962,0.5708,0.0181,Silk Board Junction,2.462
p257,12.934303,77.734905,0.1764,0.0351,0.0,Whitefield / Big Bazaar,4.253
p258,12.934737,77.727413,0.1797,0.0395,0.0,Marathahalli Junction,4.226
p259,12.934846,77.684408,0.8048,0.8573,0.0118,Sarjapur / Iblur Signal,2.345
p260,12.934883,77.572615,0.3286,0.2372,0.0007,Dairy Circle,3.283
p261,12.934959,77.523746,0.8961,0.9949,0.0,Hudson Circle,7.413
p262,12.935009,77.692901,0.6155,0.612,0.0065,Marathahalli Junction,2.708
p263,12.935042,77.554627,0.3792,0.3057,0.0,Hudson Circle,4.874
p264,12.935257,77.517051,0.8304,0.9072,0.0,Hudson Circle,8.025
p265,12.935436,77.594571,0.7908,0.7427,0.0838,Dairy Circle,1.085
p266,12.93882,77.731324,0.21,0.0798,0.0001,Whitefield / Big Bazaar,3.98
p267,12.938856,77.539664,0.6332,0.6442,0.0,Hudson Circle,5.74
p268,12.939048,77.742358,0.2099,0.0792,0.0005,Whitefield / Big Bazaar,3.5
p269,12.939269,77.658175,0.6229,0.5808,0.0373,Sarjapur / Iblur Signal,1.668
p270,12.939558,77.574317,0.3082,0.2084,0.002,Dairy Circle,3.015
p271,12.939626,77.552669,0.3373,0.2497,0.0,Hudson Circle,4.626
p272,12.939809,77.52379,0.8923,0.9897,0.0,Hudson Circle,7.143
p273,12.939969,77.756755,0.21,0.0791,0.0007,Whitefield / Big Bazaar,3.379
p274,12.940022,77.560567,0.232,0.1093,0.0,Hudson Circle,4.049
p275,12.940145,77.651973,0.5074,0.4555,0.0158,Sarjapur / Iblur Signal,2.125
