point_id,latitude,longitude,orders_per_day
p001,12.838457,77.585393,24
p002,12.843866,77.574269,25
p003,12.843934,77.58242,28
p004,12.844312,77.525171,22
p005,12.844982,77.536947,22
p006,12.845021,77.589594,32
p007,12.846004,77.532007,22
p008,12.846049,77.56128,24
p009,12.847046,77.557977,25
p010,12.849729,77.537358,25
p011,12.850267,77.585038,37
p012,12.85098,77.555053,28
p013,12.851118,77.573334,34
p014,12.851677,77.596333,45
p015,12.852429,77.580368,38
p016,12.852439,77.520834,27
p017,12.854288,77.549111,30
p018,12.854392,77.533151,28
p019,12.85477,77.56456,36
p020,12.857865,77.54838,36
p021,12.85839,77.610632,72
p022,12.858692,77.601618,65
p023,12.858703,77.629219,91
p024,12.859406,77.654133,115
p025,12.859544,77.659242,118
p026,12.859679,77.645785,109
p027,12.860541,77.589659,63
p028,12.860696,77.573115,53
p029,12.860908,77.553542,43
p030,12.861785,77.561826,49
p031,12.862248,77.621591,95
p032,12.862431,77.597935,74
p033,12.862805,77.580574,64
p034,12.863321,77.529636,39
p035,12.866496,77.53844,47
p036,12.866723,77.635544,121
p037,12.867414,77.564692,66
p038,12.867708,77.589976,90
p039,12.867802,77.594033,93
p040,12.868052,77.61046,108
p041,12.868797,77.65804,140
p042,12.869103,77.545312,56
p043,12.869146,77.570581,78
p044,12.869454,77.641777,137
p045,12.869697,77.530117,51
p046,12.869927,77.628709,132
p047,12.870436,77.554156,66
p048,12.870735,77.651115,145
p049,12.8708,77.582409,97
p050,12.871141,77.606271,119
p051,12.871405,77.669618,146
p052,12.874125,77.573496,104
p053,12.874376,77.498666,57
p054,12.874392,77.605686,137
p055,12.874404,77.564864,93
p056,12.874856,77.536489,66
p057,12.874902,77.611437,145
p058,12.875316,77.513276,60
p059,12.875513,77.54891,79
p060,12.875638,77.556653,87
p061,12.876052,77.630188,157
p062,12.876497,77.528731,66
p063,12.877391,77.597946,151
p064,12.877626,77.577732,129
p065,12.877658,77.488511,59
p066,12.877812,77.649998,176
p067,12.877968,77.504439,65
p068,12.878383,77.642206,177
p069,12.8784,77.637144,175
p070,12.879007,77.484301,60
p071,12.879321,77.618806,175
p072,12.879471,77.521743,73
p073,12.88248,77.588291,178
p074,12.882547,77.571003,147
p075,12.883228,77.523713,84
p076,12.884025,77.617573,208
p077,12.884252,77.529497,88
p078,12.8845,77.553138,120
p079,12.884506,77.549222,113
p080,12.884568,77.540808,99
p081,12.884648,77.645291,212
p082,12.884753,77.505231,78
p083,12.884785,77.56427,144
p084,12.885124,77.576766,176
p085,12.885141,77.636979,217
p086,12.885475,77.594692,211
p087,12.885613,77.480455,67
p088,12.885772,77.614554,221
p089,12.88627,77.659022,202
p090,12.886778,77.492495,78
p091,12.886895,77.496189,80
p092,12.887466,77.51225,90
p093,12.890719,77.627362,261
p094,12.890793,77.489862,84
p095,12.891686,77.662569,225
p096,12.892023,77.596777,274
p097,12.892405,77.548334,151
p098,12.892633,77.537021,128
p099,12.892789,77.636701,270
p100,12.892803,77.466247,60
p101,12.892923,77.506046,99
p102,12.893345,77.483707,80
p103,12.89347,77.50077,97
p104,12.893604,77.586513,263
p105,12.893652,77.577904,249
p106,12.893848,77.643932,269
p107,12.894002,77.619093,288
p108,12.894042,77.565445,218
p109,12.894101,77.573969,239
p110,12.894305,77.654436,249
p111,12.894309,77.55416,179
p112,12.894388,77.521616,118
p113,12.894648,77.668829,222
p114,12.895499,77.612022,302
p115,12.895529,77.533668,136
