point_id,latitude,longitude,price_per_sqft
p001,12.838457,77.585393,8858
p002,12.843866,77.574269,8914
p003,12.843934,77.58242,8811
p004,12.844312,77.525171,9206
p005,12.844982,77.536947,9159
p006,12.845021,77.589594,8769
p007,12.846004,77.532007,9176
p008,12.846049,77.56128,9040
p009,12.847046,77.557977,9041
p010,12.849729,77.537358,9104
p011,12.850267,77.585038,8700
p012,12.85098,77.555053,8980
p013,12.851118,77.573334,8868
p014,12.851677,77.596333,8740
p015,12.852429,77.580368,8720
p016,12.852439,77.520834,9165
p017,12.854288,77.549111,8911
p018,12.854392,77.533151,9089
p019,12.85477,77.56456,8942
p020,12.857865,77.54838,8804
p021,12.85839,77.610632,9158
p022,12.858692,77.601618,8853
p023,12.858703,77.629219,9695
p024,12.859406,77.654133,9760
p025,12.859544,77.659242,9676
p026,12.859679,77.645785,9611
p027,12.860541,77.589659,8653
p028,12.860696,77.573115,8907
p029,12.860908,77.553542,8644
p030,12.861785,77.561826,8712
p031,12.862248,77.621591,9839
p032,12.862431,77.597935,8779
p033,12.862805,77.580574,8741
p034,12.863321,77.529636,9056
p035,12.866496,77.53844,8799
p036,12.866723,77.635544,9524
p037,12.867414,77.564692,8568
p038,12.867708,77.589976,8773
p039,12.867802,77.594033,8779
p040,12.868052,77.61046,9149
p041,12.868797,77.65804,10676
p042,12.869103,77.545312,8478
p043,12.869146,77.570581,9002
p044,12.869454,77.641777,8993
p045,12.869697,77.530117,9029
p046,12.869927,77.628709,10194
p047,12.870436,77.554156,8173
p048,12.870735,77.651115,10619
p049,12.8708,77.582409,9195
p050,12.871141,77.606271,9081
p051,12.871405,77.669618,10638
p052,12.874125,77.573496,9568
p053,12.874376,77.498666,8117
p054,12.874392,77.605686,9219
p055,12.874404,77.564864,8267
p056,12.874856,77.536489,8821
p057,12.874902,77.611437,9093
p058,12.875316,77.513276,8924
p059,12.875513,77.54891,8188
p060,12.875638,77.556653,8021
p061,12.876052,77.630188,9763
p062,12.876497,77.528731,9113
p063,12.877391,77.597946,8338
p064,12.877626,77.577732,10545
p065,12.877658,77.488511,7302
p066,12.877812,77.649998,10570
p067,12.877968,77.504439,8331
p068,12.878383,77.642206,8124
p069,12.8784,77.637144,8259
p070,12.879007,77.484301,7041
p071,12.879321,77.618806,8912
p072,12.879471,77.521743,9177
p073,12.88248,77.588291,9474
p074,12.882547,77.571003,10256
p075,12.883228,77.523713,9269
p076,12.884025,77.617573,8023
p077,12.884252,77.529497,9305
p078,12.8845,77.553138,8110
p079,12.884506,77.549222,8218
p080,12.884568,77.540808,8769
p081,12.884648,77.645291,11137
p082,12.884753,77.505231,8076
p083,12.884785,77.56427,8435
p084,12.885124,77.576766,12170
p085,12.885141,77.636979,10142
p086,12.885475,77.594692,8801
p087,12.885613,77.480455,6442
p088,12.885772,77.614554,8290
p089,12.88627,77.659022,11007
p090,12.886778,77.492495,6718
p091,12.886895,77.496189,6993
p092,12.887466,77.51225,8682
p093,12.890719,77.627362,5943
p094,12.890793,77.489862,6268
p095,12.891686,77.662569,12356
p096,12.892023,77.596777,9263
p097,12.892405,77.548334,8508
p098,12.892633,77.537021,9765
p099,12.892789,77.636701,9702
p100,12.892803,77.466247,6350
p101,12.892923,77.506046,7790
p102,12.893345,77.483707,5997
p103,12.89347,77.50077,7019
p104,12.893604,77.586513,12011
p105,12.893652,77.577904,12193
p106,12.893848,77.643932,11757
p107,12.894002,77.619093,7159
p108,12.894042,77.565445,9242
p109,12.894101,77.573969,11752
p110,12.894305,77.654436,11480
p111,12.894309,77.55416,8219
p112,12.894388,77.521616,9406
p113,12.894648,77.668829,13262
p114,12.895499,77.612022,8217
p115,12.895529,77.533668,10133
p116,12.895619,77.517158,9043
p117,12.895629,77.604751,8521
p118,12.898453,77.590152,11255
p119,12.898902,77.555776,9330
p120,12.899036,77.578594,11817
p121,12.899171,77.523936,9632
p122,12.899208,77.625752,7158
p123,12.899225,77.52915,10121
p124,12.899404,77.670133,13314
p125,12.899419,77.650875,11548
p126,12.89959,77.466884,6130
p127,12.899611,77.562439,9599
p128,12.899967,77.618512,7126
p129,12.900047,77.659811,12902
p130,12.900195,77.61361,7620
p131,12.900595,77.547521,11044
p132,12.900946,77.604312,8754
p133,12.901029,77.635823,9958
p134,12.901079,77.538404,11171
p135,12.901173,77.679616,14745
p136,12.90121,77.642086,11314
p137,12.901586,77.508266,7934
p138,12.901656,77.596718,9769
p139,12.90216,77.491337,5877
p140,12.902189,77.569543,10395
p141,12.902446,77.498864,6409
p142,12.902593,77.476399,5842
p143,12.902871,77.484733,5807
p144,12.903633,77.513633,8579
p145,12.906361,77.572483,10617
p146,12.906636,77.467166,6061
p147,12.906677,77.606327,9579
p148,12.906761,77.528473,10056
p149,12.906867,77.613627,8803
p150,12.906964,77.706394,12203
p151,12.907038,77.651882,12343
p152,12.907732,77.554665,9959
p153,12.907974,77.617755,8455
p154,12.908381,77.695548,12018
p155,12.908505,77.637211,12888
p156,12.90867,77.480154,5807
